pH,Dissolved_Oxygen_mgL,Turbidity_NTU,Total_Dissolved_Solids_mgL,Nitrate_mgL,Phosphate_mgL,Temperature_C,Heavy_Metals_ppm,Safe_for_Humans,Safe_for_Animals,Safe_for_Plants
6.59,8.46,21.87,403.03,34.15,0.32,7.2,0.093,Unsafe,Safe,Unsafe
6.64,7.97,5.99,713.76,33.04,6.12,13.7,0.227,Unsafe,Safe,Unsafe
8.05,3.27,13.1,1151.3,47.53,7.16,23.8,0.374,Unsafe,Unsafe,Unsafe
7.73,9.88,60.6,348.68,36.48,4.17,22.0,0.141,Unsafe,Safe,Unsafe
8.61,11.87,84.94,1078.48,2.6,7.57,23.4,0.01,Unsafe,Safe,Unsafe
7.15,6.57,4.5,80.67,44.21,2.27,21.5,0.271,Unsafe,Safe,Unsafe
5.92,11.31,73.42,657.45,43.13,2.21,13.2,0.478,Unsafe,Unsafe,Unsafe
8.0,13.57,34.13,1175.0,22.17,1.61,12.3,0.196,Unsafe,Safe,Safe
8.16,4.45,47.85,541.16,29.29,3.72,9.1,0.21,Unsafe,Safe,Safe
7.46,8.28,92.89,867.42,48.8,8.47,30.5,0.484,Unsafe,Safe,Unsafe
8.2,5.45,33.2,347.22,26.62,8.28,23.5,0.347,Unsafe,Safe,Unsafe
7.23,11.51,46.53,1125.89,45.27,3.83,10.6,0.36,Unsafe,Safe,Unsafe
7.33,8.93,1.37,125.8,4.15,5.89,10.3,0.281,Unsafe,Safe,Unsafe
7.0,9.61,8.16,1286.19,9.55,7.21,31.2,0.487,Unsafe,Safe,Unsafe
5.59,11.57,25.86,337.38,22.04,2.41,27.3,0.344,Unsafe,Unsafe,Safe
5.88,6.75,2.79,1317.88,29.24,1.68,24.8,0.448,Unsafe,Unsafe,Safe
5.61,12.98,63.14,561.17,40.81,9.72,17.2,0.35,Unsafe,Unsafe,Unsafe
7.73,8.4,42.64,1097.89,49.41,6.18,12.9,0.368,Unsafe,Safe,Unsafe
6.6,3.9,54.81,512.88,19.44,9.81,34.4,0.145,Unsafe,Unsafe,Unsafe
7.28,10.35,17.46,1363.57,2.37,3.38,28.9,0.152,Unsafe,Safe,Safe
8.68,11.52,29.59,233.62,40.06,7.03,14.1,0.391,Unsafe,Safe,Unsafe
6.37,5.8,66.38,308.85,30.22,2.23,30.4,0.148,Unsafe,Safe,Unsafe
6.94,12.29,96.53,764.89,9.93,2.61,27.8,0.281,Unsafe,Safe,Safe
8.14,12.87,5.04,168.81,24.74,5.12,13.9,0.125,Unsafe,Safe,Unsafe
6.3,5.32,89.04,334.17,37.12,3.2,17.8,0.408,Unsafe,Safe,Unsafe
5.77,13.8,57.69,1418.46,38.52,1.68,10.6,0.055,Unsafe,Unsafe,Unsafe
6.51,3.69,56.39,1465.91,24.98,2.63,8.3,0.415,Unsafe,Unsafe,Safe
6.06,4.42,50.03,595.58,15.26,0.36,26.7,0.301,Unsafe,Safe,Safe
8.75,4.21,6.94,1388.76,48.69,7.04,13.0,0.093,Unsafe,Safe,Unsafe
8.33,12.73,8.99,840.0,33.17,4.92,29.6,0.271,Unsafe,Safe,Unsafe
7.72,9.85,60.09,441.13,20.41,0.94,34.9,0.141,Unsafe,Safe,Safe
8.55,3.83,34.1,1068.48,14.02,1.72,7.3,0.162,Unsafe,Unsafe,Unsafe
8.31,7.28,91.73,1005.41,36.56,1.03,19.2,0.176,Unsafe,Safe,Unsafe
6.15,9.38,40.66,1484.23,12.11,6.13,29.1,0.032,Unsafe,Safe,Unsafe
8.62,3.0,14.33,434.32,8.59,0.94,28.7,0.493,Unsafe,Unsafe,Unsafe
7.39,12.59,71.47,1024.49,26.49,7.54,27.8,0.016,Unsafe,Safe,Unsafe
8.33,11.64,29.34,125.43,14.5,0.21,15.5,0.331,Unsafe,Safe,Safe
8.64,8.06,52.55,214.79,31.45,2.49,18.6,0.186,Unsafe,Safe,Unsafe
6.61,13.61,69.78,55.68,5.9,8.91,22.8,0.323,Unsafe,Safe,Unsafe
5.89,7.01,90.03,1499.22,32.75,7.19,34.2,0.178,Unsafe,Unsafe,Unsafe
6.3,13.81,79.22,1213.3,14.16,0.73,14.8,0.337,Unsafe,Safe,Safe
6.99,10.02,67.64,1190.75,0.01,8.21,32.7,0.365,Unsafe,Safe,Unsafe
8.36,9.62,67.96,789.1,6.35,4.93,13.1,0.345,Unsafe,Safe,Safe
8.51,3.99,94.59,485.1,46.68,8.47,34.7,0.057,Unsafe,Unsafe,Unsafe
5.52,12.58,29.58,269.33,43.37,6.01,25.1,0.328,Unsafe,Unsafe,Unsafe
7.29,7.13,0.11,462.78,11.68,6.82,18.9,0.14,Unsafe,Safe,Unsafe
6.96,3.95,27.2,595.16,38.92,9.94,23.4,0.014,Unsafe,Unsafe,Unsafe
6.28,2.15,21.79,1146.65,30.43,2.32,13.2,0.207,Unsafe,Unsafe,Unsafe
5.92,8.72,66.18,832.51,48.55,6.24,13.2,0.217,Unsafe,Unsafe,Unsafe
6.68,8.33,63.37,162.35,18.68,4.6,8.4,0.234,Unsafe,Safe,Safe
8.8,10.63,59.35,76.14,34.07,0.39,8.4,0.352,Unsafe,Safe,Unsafe
6.63,12.68,1.62,198.38,3.18,0.14,15.4,0.154,Unsafe,Safe,Safe
7.32,2.95,72.88,645.22,19.81,1.19,27.9,0.158,Unsafe,Unsafe,Safe
7.96,10.78,32.35,1403.13,48.19,6.49,23.2,0.03,Unsafe,Safe,Unsafe
6.77,4.25,66.51,974.23,26.95,5.67,8.1,0.343,Unsafe,Safe,Unsafe
8.9,12.3,55.66,1212.65,14.39,5.53,30.6,0.284,Unsafe,Safe,Unsafe
8.87,11.83,34.27,726.24,6.01,0.32,23.0,0.175,Unsafe,Safe,Unsafe
6.38,8.49,13.46,574.42,35.18,4.69,33.8,0.353,Unsafe,Safe,Unsafe
7.24,10.52,9.44,207.18,32.24,9.25,25.1,0.269,Unsafe,Safe,Unsafe
6.55,5.77,83.15,1320.1,18.7,3.98,10.3,0.235,Unsafe,Safe,Safe
6.5,7.65,91.84,1185.58,47.55,6.25,19.2,0.256,Unsafe,Safe,Unsafe
5.63,11.86,64.98,293.77,1.11,7.8,24.5,0.318,Unsafe,Unsafe,Unsafe
7.63,7.51,10.34,792.78,15.19,7.84,5.8,0.33,Unsafe,Safe,Unsafe
7.26,6.29,40.2,756.69,46.05,5.19,5.4,0.144,Unsafe,Safe,Unsafe
5.68,7.93,72.89,956.38,16.05,8.58,8.9,0.07,Unsafe,Unsafe,Unsafe
6.48,11.94,77.98,1421.97,12.61,3.91,12.5,0.078,Unsafe,Safe,Safe
8.68,6.02,11.82,890.67,26.71,8.89,17.9,0.32,Unsafe,Safe,Unsafe
6.34,4.09,0.0,833.32,41.19,2.4,19.6,0.436,Unsafe,Safe,Unsafe
6.01,10.54,71.21,122.97,5.16,2.8,9.1,0.205,Unsafe,Safe,Safe
7.21,11.91,35.66,141.22,47.15,0.53,25.2,0.085,Unsafe,Safe,Unsafe
8.95,3.21,25.45,321.65,39.75,7.96,22.9,0.378,Unsafe,Unsafe,Unsafe
6.35,4.88,1.29,97.08,9.06,4.17,13.8,0.416,Unsafe,Safe,Safe
7.85,3.7,54.03,1127.86,35.6,2.29,5.4,0.44,Unsafe,Unsafe,Unsafe
8.17,6.18,85.12,1098.83,19.25,2.32,7.3,0.303,Unsafe,Safe,Safe
6.33,7.4,95.76,247.28,20.11,9.01,16.8,0.43,Unsafe,Safe,Unsafe
8.05,10.99,56.57,1262.31,39.16,8.34,9.6,0.008,Unsafe,Safe,Unsafe
6.79,9.81,51.45,274.44,48.14,5.54,16.3,0.054,Unsafe,Safe,Unsafe
7.71,9.45,8.51,486.7,6.33,6.16,23.8,0.046,Unsafe,Safe,Unsafe
7.72,6.23,54.89,411.02,21.03,4.74,21.4,0.356,Unsafe,Safe,Safe
7.38,12.1,38.0,589.85,24.05,3.92,11.9,0.035,Unsafe,Safe,Safe
5.82,7.66,60.71,419.26,18.82,9.15,15.3,0.248,Unsafe,Unsafe,Unsafe
8.42,13.75,38.87,758.98,18.16,1.26,23.4,0.236,Unsafe,Safe,Safe
6.62,9.61,24.03,640.74,2.61,4.18,30.8,0.155,Unsafe,Safe,Safe
6.15,3.52,9.5,1480.53,34.28,3.45,27.6,0.435,Unsafe,Unsafe,Unsafe
5.64,10.11,31.49,131.09,21.81,4.98,21.6,0.085,Unsafe,Unsafe,Safe
7.57,5.9,9.66,256.16,9.74,4.58,15.9,0.176,Unsafe,Safe,Safe
7.87,10.24,17.69,126.6,40.8,5.19,16.0,0.387,Unsafe,Safe,Unsafe
5.56,2.84,98.73,957.47,40.13,1.4,31.4,0.015,Unsafe,Unsafe,Unsafe
7.29,4.1,44.41,129.04,24.32,5.13,6.2,0.336,Unsafe,Safe,Unsafe
6.29,12.27,53.19,1262.84,14.92,2.42,34.6,0.408,Unsafe,Safe,Safe
7.76,4.73,87.36,792.31,31.9,1.84,24.9,0.466,Unsafe,Safe,Unsafe
6.11,12.04,99.56,814.16,14.41,0.65,25.4,0.438,Unsafe,Safe,Safe
7.92,5.35,58.27,864.31,11.8,7.63,6.1,0.16,Unsafe,Safe,Unsafe
6.85,9.71,81.25,297.68,36.53,4.27,23.2,0.293,Unsafe,Safe,Unsafe
8.78,10.33,32.69,336.65,2.02,6.27,19.5,0.039,Unsafe,Safe,Unsafe
5.98,8.15,30.57,512.29,4.74,7.28,8.2,0.129,Unsafe,Unsafe,Unsafe
6.69,5.66,40.27,910.57,0.34,6.79,13.3,0.047,Unsafe,Safe,Unsafe
5.9,4.55,67.25,354.67,7.65,4.71,31.7,0.158,Unsafe,Unsafe,Safe
8.74,2.4,68.22,218.68,3.45,3.88,21.5,0.438,Unsafe,Unsafe,Unsafe
8.57,5.65,31.52,1456.67,49.79,3.76,17.4,0.174,Unsafe,Safe,Unsafe
6.4,9.84,13.32,81.87,14.44,6.4,7.2,0.281,Unsafe,Safe,Unsafe
7.81,13.26,63.24,1213.91,7.46,4.95,26.4,0.217,Unsafe,Safe,Safe
8.36,12.45,12.83,1192.65,12.05,8.49,26.1,0.229,Unsafe,Safe,Unsafe
7.44,11.19,57.85,480.96,46.81,8.75,23.4,0.485,Unsafe,Safe,Unsafe
7.35,11.46,69.34,246.66,26.01,1.71,20.3,0.148,Unsafe,Safe,Safe
6.35,9.98,70.06,261.16,18.24,1.36,18.0,0.314,Unsafe,Safe,Safe
5.83,5.12,75.35,1061.28,43.67,6.3,22.8,0.21,Unsafe,Unsafe,Unsafe
8.64,12.89,87.29,982.07,19.75,3.01,12.0,0.031,Unsafe,Safe,Unsafe
8.65,10.05,50.0,1184.98,16.75,0.19,33.2,0.245,Unsafe,Safe,Unsafe
7.72,8.73,73.02,1409.35,10.36,8.89,22.7,0.407,Unsafe,Safe,Unsafe
6.69,3.33,61.92,1053.29,18.89,2.27,14.3,0.049,Unsafe,Unsafe,Safe
6.72,7.36,18.66,275.98,15.83,9.29,18.5,0.035,Unsafe,Safe,Unsafe
8.04,7.52,2.57,402.99,33.87,7.17,29.2,0.077,Unsafe,Safe,Unsafe
8.64,12.37,28.45,1271.18,14.48,7.63,9.8,0.382,Unsafe,Safe,Unsafe
8.6,8.56,44.3,353.49,28.86,2.01,13.8,0.362,Unsafe,Safe,Unsafe
8.23,6.56,61.71,155.16,3.29,2.34,25.4,0.283,Unsafe,Safe,Safe
7.75,13.72,85.0,1069.76,9.56,5.21,14.5,0.234,Unsafe,Safe,Unsafe
5.79,3.33,19.62,633.66,20.37,1.72,28.8,0.444,Unsafe,Unsafe,Safe
6.07,7.07,12.55,1384.06,46.85,3.05,8.9,0.383,Unsafe,Safe,Unsafe
8.64,2.5,96.35,992.87,18.86,3.21,27.9,0.406,Unsafe,Unsafe,Unsafe
7.62,10.88,10.8,181.11,33.2,1.6,7.1,0.407,Unsafe,Safe,Unsafe
5.53,13.02,47.85,1424.39,12.75,2.05,5.4,0.321,Unsafe,Unsafe,Safe
5.86,5.36,58.56,424.91,6.35,7.89,31.9,0.229,Unsafe,Unsafe,Unsafe
7.82,12.3,54.14,538.96,2.93,1.67,22.4,0.432,Unsafe,Safe,Safe
5.52,5.51,8.6,633.28,15.27,0.28,15.6,0.463,Unsafe,Unsafe,Safe
6.06,12.93,5.7,124.28,7.88,6.29,12.0,0.012,Unsafe,Safe,Unsafe
7.42,11.05,10.55,769.95,8.7,9.76,23.5,0.026,Unsafe,Safe,Unsafe
7.92,11.66,58.56,228.81,38.04,3.31,20.3,0.479,Unsafe,Safe,Unsafe
7.78,2.22,54.43,631.41,0.79,1.19,34.7,0.139,Unsafe,Unsafe,Safe
6.28,13.55,23.37,558.53,27.89,5.7,34.5,0.437,Unsafe,Safe,Unsafe
7.99,10.72,63.78,1170.62,18.97,9.06,24.1,0.194,Unsafe,Safe,Unsafe
6.33,5.66,82.01,1214.6,25.33,7.84,18.3,0.06,Unsafe,Safe,Unsafe
6.64,11.95,4.16,272.45,28.14,6.23,19.7,0.04,Unsafe,Safe,Unsafe
8.11,5.38,49.81,581.5,15.67,3.15,25.5,0.078,Unsafe,Safe,Safe
7.77,12.47,68.93,591.36,14.76,5.42,8.0,0.125,Unsafe,Safe,Unsafe
8.47,3.35,25.23,269.55,36.67,0.91,14.9,0.244,Unsafe,Unsafe,Unsafe
7.8,10.44,30.78,1207.76,43.56,6.79,7.3,0.351,Unsafe,Safe,Unsafe
7.49,8.49,61.36,1075.48,9.63,7.25,7.2,0.493,Unsafe,Safe,Unsafe
5.83,3.16,89.79,326.05,4.88,9.65,10.9,0.221,Unsafe,Unsafe,Unsafe
6.79,4.9,80.99,581.75,44.89,2.6,19.6,0.259,Unsafe,Safe,Unsafe
6.43,2.15,58.31,203.42,17.49,0.18,28.5,0.261,Unsafe,Unsafe,Safe
6.35,7.63,73.02,960.9,27.57,5.46,19.6,0.27,Unsafe,Safe,Unsafe
8.91,5.62,36.48,225.99,17.98,7.07,15.1,0.259,Unsafe,Safe,Unsafe
6.88,9.18,64.1,1479.6,6.29,7.9,7.5,0.004,Unsafe,Safe,Unsafe
8.62,5.57,46.62,1181.99,29.47,1.94,21.5,0.001,Unsafe,Safe,Unsafe
7.71,5.6,18.99,615.85,26.26,2.62,13.1,0.049,Unsafe,Safe,Safe
8.28,10.92,70.17,888.92,10.15,5.13,23.4,0.051,Unsafe,Safe,Unsafe
7.26,2.58,55.65,1371.45,22.59,3.31,34.3,0.352,Unsafe,Unsafe,Safe
7.52,12.83,35.86,853.44,39.85,8.61,8.3,0.102,Unsafe,Safe,Unsafe
7.22,12.23,91.13,303.02,29.52,4.74,11.4,0.447,Unsafe,Safe,Safe
6.18,10.01,2.09,599.12,4.85,8.0,19.2,0.464,Unsafe,Safe,Unsafe
8.03,9.12,31.58,1272.56,27.4,5.81,34.1,0.488,Unsafe,Safe,Unsafe
6.48,12.71,5.69,984.11,35.14,7.73,28.2,0.47,Unsafe,Safe,Unsafe
5.59,4.22,76.65,993.55,39.64,3.33,31.9,0.136,Unsafe,Unsafe,Unsafe
7.76,2.95,70.21,1306.89,31.46,8.31,15.0,0.255,Unsafe,Unsafe,Unsafe
6.12,4.87,33.14,1346.26,7.63,2.75,34.8,0.088,Unsafe,Safe,Safe
8.79,11.53,67.57,1383.7,35.51,5.46,8.1,0.403,Unsafe,Safe,Unsafe
8.84,2.42,39.59,187.53,33.87,2.14,6.6,0.444,Unsafe,Unsafe,Unsafe
8.7,8.99,75.63,838.98,1.22,4.76,30.7,0.426,Unsafe,Safe,Unsafe
6.8,13.95,45.42,1123.74,20.59,3.18,32.8,0.217,Unsafe,Safe,Safe
5.55,12.27,41.23,1147.54,16.65,2.67,7.7,0.379,Unsafe,Unsafe,Safe
8.75,8.26,93.47,929.74,33.47,9.67,8.4,0.049,Unsafe,Safe,Unsafe
7.0,2.76,25.09,291.84,10.81,1.6,6.0,0.02,Unsafe,Unsafe,Safe
8.88,11.98,12.04,1206.26,29.54,7.87,8.1,0.377,Unsafe,Safe,Unsafe
8.87,9.19,58.45,1094.16,45.66,9.84,11.3,0.213,Unsafe,Safe,Unsafe
8.49,3.38,96.93,174.9,39.89,0.2,34.1,0.498,Unsafe,Unsafe,Unsafe
6.53,3.13,37.78,722.52,46.07,6.99,25.0,0.049,Unsafe,Unsafe,Unsafe
6.85,12.92,6.2,302.27,48.93,2.53,28.4,0.428,Unsafe,Safe,Unsafe
8.48,10.03,33.93,539.34,0.53,0.4,28.3,0.24,Unsafe,Safe,Safe
6.61,11.95,50.59,76.22,31.14,4.03,21.1,0.414,Unsafe,Safe,Unsafe
6.09,12.55,16.19,630.48,20.64,9.35,28.9,0.409,Unsafe,Safe,Unsafe
7.45,8.86,65.81,847.32,42.99,0.12,22.9,0.458,Unsafe,Safe,Unsafe
8.78,8.21,99.77,948.39,12.59,5.88,14.4,0.149,Unsafe,Safe,Unsafe
7.94,7.17,45.17,1012.06,49.05,5.01,21.8,0.475,Unsafe,Safe,Unsafe
7.5,5.8,35.47,1262.62,30.69,8.73,21.0,0.076,Unsafe,Safe,Unsafe
5.84,7.22,40.07,362.42,39.68,0.84,29.7,0.041,Unsafe,Unsafe,Unsafe
7.65,11.29,11.51,224.7,4.28,6.82,34.5,0.216,Unsafe,Safe,Unsafe
8.97,9.22,88.33,1284.73,9.17,6.8,17.3,0.414,Unsafe,Safe,Unsafe
5.99,12.71,41.48,277.09,37.92,6.69,27.9,0.237,Unsafe,Unsafe,Unsafe
7.31,7.32,38.73,1463.4,1.1,9.42,8.0,0.415,Unsafe,Safe,Unsafe
8.57,9.29,65.97,1271.68,40.84,8.23,28.3,0.365,Unsafe,Safe,Unsafe
8.09,9.58,44.2,776.27,0.7,0.42,16.1,0.105,Unsafe,Safe,Safe
7.94,9.1,64.82,1473.06,32.86,4.71,6.2,0.474,Unsafe,Safe,Unsafe
7.96,10.43,6.14,191.2,18.25,3.98,15.9,0.03,Unsafe,Safe,Safe
6.76,4.85,81.37,489.45,30.57,3.1,23.3,0.449,Unsafe,Safe,Unsafe
6.53,8.15,94.05,975.43,34.8,4.51,8.6,0.152,Unsafe,Safe,Unsafe
8.33,3.25,64.88,557.51,17.12,3.84,32.7,0.25,Unsafe,Unsafe,Safe
8.34,6.61,95.46,1396.14,5.4,4.32,7.3,0.211,Unsafe,Safe,Safe
8.53,7.85,15.14,145.16,3.48,9.79,32.9,0.086,Unsafe,Safe,Unsafe
8.7,9.83,47.74,846.65,29.45,0.89,26.2,0.179,Unsafe,Safe,Unsafe
7.29,13.41,60.18,906.76,26.03,9.22,14.9,0.096,Unsafe,Safe,Unsafe
7.26,9.21,58.17,996.46,37.11,4.8,16.7,0.102,Unsafe,Safe,Unsafe
8.29,10.92,40.15,420.72,25.49,6.24,27.2,0.094,Unsafe,Safe,Unsafe
7.77,8.08,33.81,578.62,21.12,8.3,23.0,0.245,Unsafe,Safe,Unsafe
7.96,9.61,12.68,1273.34,19.9,3.6,25.1,0.399,Unsafe,Safe,Safe
8.29,2.85,39.17,332.67,1.32,4.3,16.7,0.284,Unsafe,Unsafe,Safe
8.62,5.05,16.27,1248.96,16.78,4.1,19.6,0.447,Unsafe,Safe,Unsafe
6.68,6.34,73.44,865.85,48.8,3.75,34.7,0.318,Unsafe,Safe,Unsafe
6.81,7.67,20.88,1155.17,43.68,9.26,11.4,0.345,Unsafe,Safe,Unsafe
5.83,2.55,5.86,1084.73,16.47,8.29,17.5,0.334,Unsafe,Unsafe,Unsafe
